path,personas,studies,insights,guardrails,exports,dashboard
./app.py,3,4,3,0,2,3
./data-model.md,1,2,1,0,1,0
./DATA_MODEL.md,4,4,3,0,2,3
./demo_detailed_session.py,2,4,2,0,0,0
./DEPLOYMENT_READY.md,1,4,4,0,3,2
./ENHANCED_PERSONAS_README.md,3,3,3,0,2,1
./ENHANCED_SYSTEM_SUMMARY.md,3,1,4,0,2,3
./JSON_SCHEMA_CONTRACTS.md,3,3,0,0,1,3
./persona_manager.py,3,2,1,0,2,1
./plan.md,2,4,1,3,1,3
./quickstart.md,1,2,1,0,1,1
./README.md,1,1,1,0,1,0
./registry.py,0,1,0,0,0,0
./research.md,1,2,1,0,3,1
./run_synthetic_session.py,1,4,2,0,1,0
./sample_detailed_personas.py,3,3,1,0,0,2
./start_web_app.py,0,3,0,0,1,1
./tasks.md,1,2,1,0,1,1
./test_analyst_artifacts.py,1,4,3,0,1,3
./test_enhanced_personas.py,3,2,0,0,0,0
./test_persona_schemas.py,2,2,0,0,0,1
./test_schema_validation.py,1,4,0,0,1,0
./tmp_db_check.py,0,1,0,0,0,0
./VECTOR_DATABASE_COMPATIBILITY.md,3,2,5,0,0,0
./VECTOR_MIGRATION_PLAN.md,3,4,5,0,1,4
./WARP.md,3,4,3,0,2,2
./.github/prompts/plan.prompt.md,0,1,0,0,1,0
./.github/prompts/specify.prompt.md,0,1,0,0,0,0
./.github/prompts/tasks.prompt.md,0,1,0,0,1,1
./.specify/memory/constitution.md,0,1,0,0,0,0
./.specify/memory/constitution_update_checklist.md,0,1,0,0,0,0
./.specify/memory/static-web-app/README.md,0,1,0,0,0,0
./.specify/templates/plan-template.md,0,2,0,0,0,2
./.specify/templates/spec-template.md,0,2,0,0,0,0
./.specify/templates/tasks-template.md,0,2,0,0,0,1
./apps/persona-preview/postcss.config.js,0,0,0,0,1,0
./apps/persona-preview/tailwind.config.js,0,0,1,0,1,0
./apps/persona-preview/vite.config.ts,0,0,0,0,1,0
./apps/persona-preview/src/App.tsx,2,2,1,0,2,0
./apps/research-api/main.py,1,2,1,0,0,0
./docs/background.md,2,2,3,3,2,3
./docs/exports.md,2,2,4,1,5,3
./export/__init__.py,0,0,0,0,1,0
./spec/specs/000-intake/checklist.md,1,2,1,1,4,4
./spec/specs/000-intake/spec-intake.md,4,6,6,6,5,6
./specs/001-description-combine-two/dashboard-mockups.md,1,2,4,1,2,2
./specs/001-description-combine-two/persona-weighting-tests.md,1,0,1,0,0,0
./specs/001-description-combine-two/refactor-checklist.md,1,2,1,0,1,0
./specs/001-description-combine-two/schema-validation.md,0,0,1,0,1,0
./specs/001-description-combine-two/spec.md,4,5,5,6,4,6
./src/main.py,2,3,3,1,2,0
./src/project_manager.py,1,2,2,0,2,0
./src/ai/agents.py,1,3,4,0,1,3
./src/ai/openai_client.py,3,2,3,0,0,1
./src/export/enhanced_exporter.py,3,2,4,0,2,4
./src/export/exporter.py,0,2,3,0,2,1
./src/export/__init__.py,0,0,0,0,1,0
./src/facilitator/manager.py,1,2,3,1,1,0
./src/facilitator/__init__.py,0,1,0,0,0,0
./src/models/analyst.py,0,3,4,0,0,0
./src/models/enhanced_project.py,2,2,2,0,2,1
./src/models/facilitator.py,0,3,2,1,0,0
./src/models/persona.py,2,1,1,0,0,0
./src/models/persona_schema.py,2,3,1,0,1,1
./src/models/project.py,1,2,2,0,2,0
./src/models/qa_turn.py,1,3,0,0,0,0
./src/models/session.py,1,3,3,0,1,0
./src/models/__init__.py,1,1,0,0,0,0
./src/personas/enhanced_manager.py,3,1,0,0,1,0
./src/personas/generator.py,2,1,1,0,0,1
./src/personas/manager.py,2,1,0,0,1,0
./src/personas/__init__.py,1,0,0,0,0,0
./src/session/synthetic_runner.py,4,4,2,0,1,4
./src/session/__init__.py,0,1,0,0,0,0
./src/storage/qa_storage.py,1,3,0,0,1,0
./src/vector/backend_pgvector.py,0,2,2,0,0,1
./src/vector/interface.py,0,0,0,0,0,1
./src/vector/use.py,0,2,1,0,0,0
./src/visualizations/chart_generator.py,1,2,2,0,0,3
./tests/test_enhanced_integration.py,3,4,3,0,2,2
./tools/audit_repo.py,6,7,6,6,6,8
./tools/evaluate_repo.py,6,7,6,6,6,8
./tools/migrate.py,0,1,0,0,0,0
